Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
HPE,Fuerte Venta,213.99001,222.2554995,227.5807998,,243.33534529,201.17565371,-4.81595262,-4.12435569
CCL1/N,Vender,328,324.2869995,354.5065996,,353.02172325,295.55227575,-4.84209563,-7.25449603
SPOT/N,Fuerte Compra,5825,5755.957495,5668.55419,3665.2318945,6058.00964664,5453.90534336,-5.48541321,11.62716011
ORCL,Fuerte Compra,1243,1241.147,1236.162,1136.9424476,1275.86693612,1206.42706388,-5.9337931,-4.3044
TEVA/N,Fuerte Venta,227.99001,261.9360025,267.3948004,216.60110025,290.65399641,233.21800859,-6.46501997,-2.41302874
JWN,Fuerte Venta,343,347.6004985,371.3397984,,391.92248871,303.27850829,-6.69189044,-11.08475004
BP/N,Fuerte Venta,494,517.1165,533.4923994,645.81294845,550.12898193,484.10401807,-7.56872259,-5.43237657
AIG,Fuerte Venta,670,687.411499,702.4449988,845.40760035,731.74851089,643.07448711,-7.81481826,-5.19370564
DDD,Fuerte Venta,121,142.485,154.2172012,174.5244507,163.19164994,121.77835006,-7.95486221,-6.15021625
CRWD,Fuerte Compra,2372.6399,2358.934995,2353.777606,,2615.53139396,2102.33859604,-8.48295279,2.35250609
BHC/N,Fuerte Venta,382,401.3394995,408.0125992,461.53109975,442.71112346,359.96787554,-8.48317244,-6.3256185
CNK,Fuerte Venta,253,263.6704995,290.4224002,,293.55309513,233.78790387,-8.7322692,-9.99419444
WFC,Fuerte Venta,535,555.426002,574.9059978,764.94004995,584.2339614,526.6180426,-8.91769186,-8.07171746
SNAP,Vender,481.45001,489.681001,512.3475978,,511.30899339,468.05300861,-9.91076875,-8.57986693
TCEHY/N,Vender,1442.01,1534.3465,1495.1022,1152.7464984,1656.6194686,1412.0735314,-10.15032037,6.08273173
ELEKTRA,Vender,1193.25,1193.67649,1225.98799,1339.1846455,1201.24931179,1186.10366821,-10.23626092,-13.28372069
ABBV,Comprar,2126,2118.33349,2153.0102,1838.137248,2191.78193277,2044.88504723,-11.13186172,-15.45867319
XOM,Fuerte Venta,936,962.7664995,992.931198,1106.0057004,1008.05456682,917.47843218,-11.45807249,-9.41767865
CVX,Fuerte Venta,1915,1972.632495,2007.9384,2072.525849,2070.21313433,1875.05185567,-12.12345347,-11.33543201
KMI,Neutral,326,323.065998,,,333.4020874,312.7299086,-12.66105973,
EOG,Fuerte Venta,1019.2,1150.7095,1093.057397,1555.48834825,1299.21753365,1002.20146635,-12.91856786,7.52200583
RDS/A,Fuerte Venta,685.98999,704.4294985,736.0895986,898.0537993,748.60143238,660.25756462,-13.10776508,-11.82424555
COP,Fuerte Venta,895,886.938001,945.8264004,1098.05960135,952.64778914,821.22821286,-13.80788754,-19.42257274
